,tiene,luego,cielo,juego,miedo,siete,quedo,nieve,puede,sueno,fuera,buena,suelo,nuevo,bueno,quito,paola,ciete,quiso,viene,cueva,guego,puedo,biene,sielo,rueda,laura,haire,juana,ciego,diego,queda,suena,nueve,fuego,viaje,viera,fiero,cuela,cuida,mueve,deisi,ruido,quiza,leemo,zayra,quede,cuado,juega,nueva,noemi,caida,causa,vieja,muere,reina,mayra,pueda,vuena,luisa,hielo,cueto,suave,diana,hayre,viajo,vuela,viejo,naomi,peino,guapo,zaira,deisy,guana,seiba,duela,heidi,cooma,quiro,reyna,ciapa,juani,huevo,cuero,yoaha,pueta,ciero,tieda,loera,saira,siapa,jauja,nueba,baila,nuemi,cuata,ciere,huebo,puola,jaime,siera,quite,seibo,nuebo,bueve,quizo,hueco,haiti,violo,niego,riego,cauce,niega,caido,sauce,viena,suele,pieza,caiga,duele,reido,seiso,cuelo,paula,vieto,haora,piano,vueno,vailo,queha,cuade,buela,suala,fiare,siega,huele,viage,caery,reino,fuete,queno,vuelo,queso,Total
Ceele_1,0.004262574595055414,0.0,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010230179028132993
Ceele_2,0.027280477408354646,0.0,0.0,0.005115089514066497,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040068201193520885
Ceele_3,0.0639386189258312,0.0,0.0,0.005967604433077579,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0025575447570332483,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.004262574595055414,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.09718670076726342
Ceele_4,0.09718670076726342,0.004262574595055414,0.0,0.01278772378516624,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0,0.0008525149190110827,0.0017050298380221654,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0025575447570332483,0.0,0.0025575447570332483,0.0,0.0017050298380221654,0.0017050298380221654,0.0017050298380221654,0.0,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0017050298380221654,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0017050298380221654,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1526001705029838
Ceele_5,0.03410059676044331,0.0008525149190110827,0.0,0.0034100596760443308,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0025575447570332483,0.0017050298380221654,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05370843989769821
Ceele_6,0.04603580562659847,0.0017050298380221654,0.0,0.008525149190110827,0.0,0.004262574595055414,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07246376811594203
Ceele_7,0.07757885763000852,0.0034100596760443308,0.0,0.01278772378516624,0.0,0.00937766410912191,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0017050298380221654,0.0,0.0034100596760443308,0.0025575447570332483,0.0,0.0008525149190110827,0.0,0.004262574595055414,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0017050298380221654,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0017050298380221654,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14492753623188406
cuentos_1,0.004262574595055414,0.0025575447570332483,0.0008525149190110827,0.0,0.0,0.0017050298380221654,0.0008525149190110827,0.0008525149190110827,0.0017050298380221654,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025575447570332483,0.0076726342710997444,0.0,0.0008525149190110827,0.0,0.0,0.004262574595055414,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0025575447570332483,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443307757885763
cuentos_2,0.0034100596760443308,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0017050298380221654,0.0,0.0008525149190110827,0.0,0.0008525149190110827,0.0008525149190110827,0.0025575447570332483,0.0017050298380221654,0.0025575447570332483,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0247229326513214
cuentos_3,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.005115089514066497,0.0017050298380221654,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549
cuentos_4,0.0017050298380221654,0.0008525149190110827,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0034100596760443308,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0017050298380221654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008525149190110827,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01619778346121057
