,cristian,plantear,chispiar,kristian,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222
Ceele_5,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
Ceele_7,0.3333333333333333,0.0,0.0,0.1111111111111111,0.4444444444444444
cuentos_1,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,1.0,0.0,0.0,1.0
cuentos_6,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0
excale_4,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,1.0,0.0,1.0
excale_6,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0
Total,0.8888888888888888,1.0,1.0,0.1111111111111111,3.0
