,aun,ael,air,iel,aan,aam,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842
Ceele_4,0.0,0.15789473684210525,0.0,0.0,0.05263157894736842,0.0,0.21052631578947367
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
cuentos_2,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.15789473684210525
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
cuentos_5,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
cuentos_6,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.0,0.21052631578947367
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.10526315789473684
Total,0.5263157894736842,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0
