,gracias,bloques,grasias,brahian,glacial,presion,prision,gloriam,crecian,lleguas,floques,grabiel,trofeos,propios,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3.0
Ceele_3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0
Ceele_4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
Ceele_5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3.0
Ceele_7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
cuentos_3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
cuentos_4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3.0
cuentos_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
excale_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Total,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0
