,yosabeth,yamileth,nayarict,caminand,masetors,ramiress,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
Ceele_4,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285
Ceele_5,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857
Ceele_6,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0.0
cuentos_3,0,0,0,0,0,0,0.0
cuentos_4,0,0,0,0,0,0,0.0
cuentos_5,0,0,0,0,0,0,0.0
cuentos_6,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,0.0
excale_1,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0.0
Total,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9999999999999999
